SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,7123,7123,0,0,0,709,709,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,119,118,1,0,0,7,6,1,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,231,63,164,4,0,8,6,2,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,272,70,198,4,0,8,2,4,2,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,250,184,64,2,0,7,-4,11,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,527,129,390,8,0,8,8,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,486,130,337,19,0,5,1,3,1,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,740,137,577,26,0,12,0,11,1,,
0,AP,Andhra Pradesh,AP_Other State,Other State,573,362,211,0,0,94,80,14,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,81,14,67,0,0,1,0,1,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,261,78,179,4,0,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,29,18,11,0,0,1,-1,2,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,107,33,73,1,0,2,2,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,26,13,13,0,0,0,-1,1,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,135,78,57,0,0,12,12,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,134,20,114,0,0,15,15,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,25,25,0,0,0,9,9,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
